tree_size,insert_time,find_time,erase_time
10000,3.51295e-07,2.84797e-07,1.95098e-07
20000,3.90695e-07,2.96397e-07,2.07399e-07
30000,4.27994e-07,3.07597e-07,2.33297e-07
40000,4.46596e-07,3.43194e-07,2.10898e-07
50000,4.81094e-07,3.29496e-07,2.20898e-07
60000,4.35693e-07,2.804e-07,2.11297e-07
70000,4.98993e-07,3.07497e-07,2.46798e-07
80000,4.76594e-07,2.99897e-07,2.02298e-07
90000,4.70993e-07,2.94897e-07,2.43497e-07
100000,5.95795e-07,3.22195e-07,2.39596e-07
110000,5.13596e-07,3.01595e-07,2.22097e-07
120000,5.58792e-07,3.90195e-07,2.27499e-07
130000,5.86193e-07,4.29196e-07,2.28096e-07
140000,5.60095e-07,3.94793e-07,2.26898e-07
150000,5.91593e-07,3.37197e-07,2.79295e-07
160000,5.53893e-07,3.35196e-07,2.31997e-07
170000,6.70792e-07,3.77296e-07,3.18997e-07
180000,6.40493e-07,3.26896e-07,2.10897e-07
190000,6.32092e-07,3.58596e-07,2.33998e-07
200000,6.10888e-07,3.03098e-07,2.05899e-07
210000,6.8829e-07,3.61599e-07,2.38096e-07
220000,6.20693e-07,3.24797e-07,2.21396e-07
230000,6.05892e-07,3.38496e-07,2.51398e-07
240000,7.00489e-07,3.45796e-07,2.35499e-07
250000,7.19391e-07,6.13793e-07,3.51896e-07
260000,6.81691e-07,3.40096e-07,3.23497e-07
270000,6.19091e-07,3.43696e-07,2.36699e-07
280000,7.30191e-07,3.49596e-07,2.47897e-07
290000,7.11494e-07,4.63093e-07,2.27096e-07
300000,8.43591e-07,3.51695e-07,2.43099e-07
310000,7.62689e-07,3.52495e-07,2.92399e-07
320000,6.8079e-07,3.39998e-07,2.53496e-07
330000,6.7179e-07,3.47797e-07,2.22598e-07
340000,8.92288e-07,3.57998e-07,2.62697e-07
350000,8.0039e-07,3.48797e-07,2.58398e-07
360000,9.58987e-07,3.72997e-07,3.05098e-07
370000,7.5409e-07,3.61095e-07,2.48798e-07
380000,7.6799e-07,3.91997e-07,2.38697e-07
390000,8.1719e-07,3.99998e-07,2.90396e-07
400000,7.55494e-07,3.71895e-07,2.41898e-07
410000,8.80189e-07,3.84196e-07,2.46796e-07
420000,9.48392e-07,3.66894e-07,2.62695e-07
430000,8.29489e-07,3.72596e-07,2.56299e-07
440000,7.9809e-07,3.69396e-07,2.40096e-07
450000,7.7579e-07,4.55094e-07,2.36699e-07
460000,8.02991e-07,3.42395e-07,2.46198e-07
470000,8.43489e-07,3.68196e-07,2.34799e-07
480000,7.39292e-07,3.24096e-07,2.16996e-07
490000,8.38187e-07,3.46096e-07,2.36398e-07
500000,8.25691e-07,3.67497e-07,2.24297e-07
510000,8.6419e-07,3.26696e-07,2.19197e-07
520000,8.14195e-07,3.29096e-07,2.20196e-07
530000,8.03595e-07,3.35592e-07,2.41097e-07
540000,8.7049e-07,4.14496e-07,2.61596e-07
550000,8.53788e-07,4.13395e-07,2.53899e-07
560000,8.80788e-07,3.62794e-07,2.424e-07
570000,8.1329e-07,4.09495e-07,2.31099e-07
580000,8.41192e-07,3.73493e-07,2.36796e-07
590000,7.79489e-07,3.89297e-07,2.43398e-07
600000,8.02393e-07,3.76993e-07,2.32997e-07
610000,9.90291e-07,3.86693e-07,2.72196e-07
620000,1.08979e-06,4.22895e-07,2.43098e-07
630000,9.92188e-07,3.59997e-07,2.29396e-07
640000,9.24687e-07,3.51495e-07,2.845e-07
650000,1.03159e-06,3.83096e-07,3.47497e-07
660000,1.12089e-06,3.99199e-07,3.20397e-07
670000,9.54286e-07,3.80896e-07,2.28499e-07
680000,9.9299e-07,3.53692e-07,2.55899e-07
690000,1.09519e-06,3.94592e-07,2.645e-07
700000,1.10889e-06,4.23598e-07,2.46098e-07
710000,1.06088e-06,4.18596e-07,2.37198e-07
720000,9.42187e-07,3.95496e-07,2.45398e-07
730000,1.20908e-06,3.67098e-07,2.46198e-07
740000,1.07939e-06,4.06994e-07,2.60298e-07
750000,1.12289e-06,3.88196e-07,2.39099e-07
760000,1.06499e-06,3.51397e-07,2.75095e-07
770000,1.19949e-06,3.86295e-07,2.43898e-07
780000,1.01779e-06,5.38096e-07,2.51498e-07
790000,9.72688e-07,3.79095e-07,2.46599e-07
800000,1.00239e-06,3.85994e-07,2.44298e-07
810000,9.94689e-07,3.85495e-07,2.71097e-07
820000,9.5279e-07,3.49698e-07,2.32596e-07
830000,9.78388e-07,3.59496e-07,2.28297e-07
840000,1.08389e-06,4.16293e-07,2.76597e-07
850000,1.18659e-06,3.91698e-07,2.44996e-07
860000,1.02839e-06,4.18296e-07,3.36596e-07
870000,1.00179e-06,4.59789e-07,2.69797e-07
880000,9.93291e-07,3.62693e-07,2.39697e-07
890000,1.12399e-06,3.84495e-07,2.741e-07
900000,1.09159e-06,3.85595e-07,2.74695e-07
910000,1.31188e-06,4.31896e-07,2.69299e-07
920000,1.02029e-06,4.01295e-07,3.26593e-07
930000,1.18249e-06,4.07194e-07,2.98997e-07
940000,1.20679e-06,4.91391e-07,2.44498e-07
950000,1.06389e-06,3.50793e-07,2.36295e-07
960000,1.20428e-06,4.22897e-07,2.77498e-07
970000,1.04299e-06,3.77194e-07,2.68999e-07
980000,1.14169e-06,3.66593e-07,2.77198e-07
990000,9.7299e-07,3.78095e-07,2.24195e-07
