tree_size,insert_time,find_time,erase_time
10000,5.61905e-07,2.75805e-07,5.56004e-07
20000,8.36811e-07,5.08107e-07,9.8321e-07
30000,1.14421e-06,4.66907e-07,9.3251e-07
40000,7.50109e-07,3.16602e-07,6.41805e-07
50000,9.02611e-07,3.78107e-07,9.31307e-07
60000,8.24712e-07,3.38501e-07,6.92608e-07
70000,8.68006e-07,3.49409e-07,6.95708e-07
80000,8.41005e-07,3.30007e-07,6.81009e-07
90000,1.01932e-06,4.15604e-07,8.14307e-07
100000,7.75308e-07,2.97803e-07,6.05609e-07
110000,9.05009e-07,3.42208e-07,6.94105e-07
120000,8.35209e-07,3.13704e-07,6.53507e-07
130000,1.02501e-06,3.60104e-07,7.66209e-07
140000,1.22101e-06,4.20805e-07,9.48413e-07
150000,1.19582e-06,4.07204e-07,8.54006e-07
160000,8.89708e-07,3.15103e-07,6.52308e-07
170000,9.71513e-07,3.44402e-07,7.24406e-07
180000,1.19961e-06,3.98602e-07,8.29512e-07
190000,1.26531e-06,4.06202e-07,8.97111e-07
200000,1.03631e-06,3.59303e-07,7.22908e-07
210000,1.10241e-06,3.60205e-07,7.9621e-07
220000,1.46272e-06,4.69304e-07,9.72311e-07
230000,1.41081e-06,4.42907e-07,9.8551e-07
240000,1.62382e-06,4.65603e-07,9.74215e-07
250000,1.29662e-06,4.00002e-07,8.28509e-07
260000,1.36542e-06,4.20703e-07,9.26309e-07
270000,1.12971e-06,3.51903e-07,7.62312e-07
280000,1.14619e-06,3.465e-07,8.16199e-07
290000,1.0734e-06,3.34099e-07,7.14698e-07
300000,1.2861e-06,3.95598e-07,8.20696e-07
310000,1.0907e-06,3.34298e-07,6.96798e-07
320000,1.45119e-06,4.36299e-07,9.70097e-07
330000,1.1755e-06,3.69798e-07,7.42698e-07
340000,1.3597e-06,5.52197e-07,9.07396e-07
350000,1.5953e-06,4.73198e-07,9.86696e-07
360000,1.3112e-06,4.88598e-07,8.37498e-07
370000,1.47019e-06,4.39298e-07,9.007e-07
380000,1.81509e-06,5.61095e-07,9.95899e-07
390000,1.6114e-06,4.38799e-07,9.22596e-07
400000,1.2907e-06,3.83398e-07,7.98094e-07
410000,1.3639e-06,4.79496e-07,8.26398e-07
420000,1.26719e-06,3.71199e-07,7.829e-07
430000,1.19409e-06,3.415e-07,7.13098e-07
440000,1.6266e-06,5.17597e-07,1.1344e-06
450000,1.2516e-06,3.41998e-07,7.27798e-07
460000,1.28199e-06,3.512e-07,7.34098e-07
470000,1.51929e-06,4.083e-07,8.59896e-07
480000,1.4838e-06,4.101e-07,9.11996e-07
490000,1.3787e-06,4.02097e-07,9.41498e-07
500000,1.55589e-06,4.17097e-07,9.90998e-07
510000,1.55339e-06,4.524e-07,9.45596e-07
520000,1.4454e-06,3.96899e-07,8.88896e-07
530000,1.5079e-06,4.11599e-07,8.69495e-07
540000,1.61329e-06,4.07999e-07,8.74198e-07
550000,1.3153e-06,3.66696e-07,7.50197e-07
560000,1.38319e-06,3.464e-07,7.404e-07
570000,1.62789e-06,4.19897e-07,8.65898e-07
580000,1.68159e-06,4.04297e-07,7.97298e-07
590000,1.4687e-06,3.90397e-07,8.16697e-07
600000,1.83419e-06,3.97298e-07,1.0986e-06
610000,1.6942e-06,4.77998e-07,1.10959e-06
620000,1.6256e-06,4.65898e-07,9.76294e-07
630000,1.55159e-06,4.22298e-07,9.56497e-07
640000,1.4929e-06,4.80398e-07,8.12795e-07
650000,1.51419e-06,4.072e-07,8.27399e-07
660000,1.72609e-06,4.71099e-07,9.87296e-07
670000,1.62949e-06,4.15898e-07,8.76599e-07
680000,1.5967e-06,4.34698e-07,8.70896e-07
690000,1.6399e-06,4.159e-07,9.90093e-07
700000,2.56389e-06,5.362e-07,6.96237e-06
710000,1.92059e-06,4.79699e-07,1.06179e-06
720000,2.03669e-06,4.11599e-07,1.1424e-06
730000,1.49349e-06,4.51799e-07,7.73498e-07
740000,1.57039e-06,3.97797e-07,8.34299e-07
750000,1.59929e-06,4.13198e-07,8.70498e-07
760000,1.5072e-06,3.99399e-07,7.99795e-07
770000,1.6551e-06,4.18098e-07,9.61495e-07
780000,1.72519e-06,4.608e-07,9.67197e-07
790000,1.49399e-06,3.761e-07,8.09799e-07
800000,1.98959e-06,5.16396e-07,1.0921e-06
810000,1.83399e-06,4.585e-07,1.0273e-06
820000,1.90089e-06,6.10898e-07,1.0223e-06
830000,1.7574e-06,4.26298e-07,8.68693e-07
840000,2.08139e-06,5.25598e-07,1.0686e-06
850000,1.74439e-06,4.01599e-07,8.327e-07
860000,1.49569e-06,3.75098e-07,7.85099e-07
870000,1.7625e-06,4.43098e-07,9.53496e-07
880000,2.52529e-06,6.12197e-07,1.34949e-06
890000,1.5554e-06,3.78998e-07,8.26694e-07
900000,1.4892e-06,3.69098e-07,7.44695e-07
910000,1.6013e-06,3.97698e-07,8.42298e-07
920000,1.7665e-06,4.35998e-07,9.86396e-07
930000,1.76759e-06,4.39499e-07,9.16496e-07
940000,1.5692e-06,3.83198e-07,7.98297e-07
950000,1.65089e-06,4.10798e-07,8.59899e-07
960000,1.80019e-06,4.56999e-07,9.53496e-07
970000,1.75549e-06,4.23398e-07,8.71199e-07
980000,1.97569e-06,4.639e-07,9.92095e-07
990000,2.06699e-06,5.058e-07,1.0353e-06
