tree_size,insert_time,find_time,erase_time
10000,2.45809e-07,1.30001e-07,1.36201e-07
20000,2.43103e-07,1.06101e-07,1.53804e-07
30000,3.41805e-07,1.24e-07,1.64806e-07
40000,2.86406e-07,1.14803e-07,1.41503e-07
50000,3.84108e-07,1.13403e-07,2.24004e-07
60000,3.14005e-07,1.16601e-07,1.39605e-07
70000,2.9861e-07,1.13501e-07,1.41801e-07
80000,4.55912e-07,1.43502e-07,1.892e-07
90000,3.36109e-07,1.36901e-07,1.46302e-07
100000,3.41607e-07,1.20002e-07,1.64804e-07
110000,3.2241e-07,1.18203e-07,1.41601e-07
120000,4.10713e-07,1.42003e-07,1.84601e-07
130000,3.24505e-07,1.16303e-07,1.38904e-07
140000,4.31511e-07,1.25101e-07,1.73902e-07
150000,3.4871e-07,1.08602e-07,1.52602e-07
160000,3.34308e-07,1.15205e-07,1.40902e-07
170000,3.65809e-07,1.229e-07,1.44404e-07
180000,4.65807e-07,1.76602e-07,1.62307e-07
190000,3.89309e-07,1.59101e-07,1.75906e-07
200000,3.97306e-07,1.30305e-07,1.54503e-07
210000,4.17807e-07,1.30104e-07,1.56305e-07
220000,4.1941e-07,1.34102e-07,1.59105e-07
230000,3.9961e-07,1.25401e-07,1.64502e-07
240000,6.43914e-07,1.40203e-07,2.02003e-07
250000,5.02309e-07,1.41204e-07,1.87706e-07
260000,5.20413e-07,1.43504e-07,1.87104e-07
270000,4.37011e-07,1.32905e-07,1.58601e-07
280000,6.55714e-07,1.33504e-07,1.56102e-07
290000,6.1521e-07,1.33803e-07,1.57203e-07
300000,4.52512e-07,1.38602e-07,1.50302e-07
310000,5.07809e-07,1.37604e-07,1.61302e-07
320000,4.69311e-07,1.47502e-07,1.51704e-07
330000,4.39506e-07,1.43202e-07,1.43505e-07
340000,5.25612e-07,1.18004e-07,1.78301e-07
350000,5.1331e-07,1.51003e-07,1.59504e-07
360000,5.3241e-07,1.23901e-07,1.49504e-07
370000,6.08307e-07,1.59703e-07,1.67708e-07
380000,4.85911e-07,1.35803e-07,1.79901e-07
390000,5.48012e-07,1.68104e-07,1.72804e-07
400000,4.64709e-07,1.28002e-07,1.65405e-07
410000,6.10815e-07,1.52503e-07,2.16404e-07
420000,4.81313e-07,1.32703e-07,1.55401e-07
430000,4.7581e-07,1.37705e-07,1.47502e-07
440000,5.27511e-07,1.17803e-07,1.41503e-07
450000,6.57514e-07,1.75204e-07,1.98505e-07
460000,6.31816e-07,1.67303e-07,1.80303e-07
470000,5.90312e-07,1.43705e-07,1.71502e-07
480000,6.05616e-07,1.36902e-07,1.88604e-07
490000,6.01213e-07,1.44003e-07,1.73103e-07
500000,6.27514e-07,1.39004e-07,1.66602e-07
510000,7.20416e-07,1.42101e-07,1.69204e-07
520000,6.43415e-07,1.29605e-07,1.70302e-07
530000,6.20617e-07,1.38101e-07,1.78102e-07
540000,6.17612e-07,1.57705e-07,1.64302e-07
550000,5.5931e-07,1.27601e-07,1.50807e-07
560000,6.62009e-07,1.47705e-07,2.09708e-07
570000,5.35807e-07,1.40804e-07,1.50606e-07
580000,7.85416e-07,1.53202e-07,2.55008e-07
590000,8.05118e-07,1.82905e-07,2.08403e-07
600000,7.74614e-07,1.87507e-07,2.02802e-07
610000,8.2472e-07,1.82605e-07,2.06301e-07
620000,7.10511e-07,1.44404e-07,1.71003e-07
630000,6.59214e-07,1.52605e-07,1.98303e-07
640000,6.83513e-07,1.78305e-07,2.02206e-07
650000,8.23712e-07,2.11306e-07,1.92503e-07
660000,8.54018e-07,1.78704e-07,2.07605e-07
670000,7.31815e-07,1.43604e-07,1.70603e-07
680000,9.23021e-07,1.45005e-07,1.76901e-07
690000,6.98714e-07,1.71105e-07,1.81702e-07
700000,7.59815e-07,1.53902e-07,2.16403e-07
710000,7.03018e-07,1.51301e-07,1.84304e-07
720000,8.52621e-07,1.86402e-07,1.87403e-07
730000,7.02811e-07,1.64408e-07,1.76305e-07
740000,7.53815e-07,1.74003e-07,2.18707e-07
750000,6.57319e-07,1.39801e-07,1.69702e-07
760000,8.08416e-07,2.44507e-07,1.69004e-07
770000,7.91517e-07,1.48603e-07,2.01103e-07
780000,7.11813e-07,1.39902e-07,1.87003e-07
790000,7.45017e-07,1.52101e-07,1.74505e-07
800000,7.63513e-07,1.82902e-07,1.80205e-07
810000,8.1382e-07,1.72002e-07,1.92505e-07
820000,8.02914e-07,1.42503e-07,1.65507e-07
830000,8.46619e-07,1.62404e-07,1.82404e-07
840000,8.28518e-07,1.57401e-07,2.08603e-07
850000,7.76317e-07,1.33904e-07,2.16504e-07
860000,8.16319e-07,1.93702e-07,1.86102e-07
870000,8.1732e-07,1.39002e-07,1.672e-07
880000,6.98515e-07,1.43103e-07,1.71004e-07
890000,6.63216e-07,1.33403e-07,1.61903e-07
900000,7.52915e-07,1.54005e-07,1.81402e-07
910000,7.69217e-07,1.41901e-07,2.30703e-07
920000,7.53915e-07,2.14906e-07,1.87502e-07
930000,8.02316e-07,1.57402e-07,2.09306e-07
940000,8.71718e-07,2.06403e-07,1.88104e-07
950000,8.98919e-07,1.63701e-07,2.26506e-07
960000,9.48523e-07,1.68202e-07,2.05604e-07
970000,9.09518e-07,1.80905e-07,2.25504e-07
980000,9.46522e-07,2.73706e-07,2.11102e-07
990000,9.7432e-07,2.07304e-07,2.26804e-07
