tree_size,insert_time,find_time,erase_time
10000,1.88943e-06,1.04202e-07,2.46104e-07
20000,1.95753e-06,1.00902e-07,2.52006e-07
30000,2.00523e-06,9.8801e-08,2.61801e-07
40000,2.15913e-06,9.9404e-08,2.71105e-07
50000,2.42414e-06,1.022e-07,2.87106e-07
60000,2.33774e-06,1.009e-07,2.87605e-07
70000,2.31243e-06,9.9204e-08,2.88105e-07
80000,2.61334e-06,1.04601e-07,3.33607e-07
90000,2.92364e-06,1.07601e-07,4.13206e-07
100000,3.03545e-06,1.18202e-07,3.24205e-07
110000,2.85925e-06,1.06401e-07,3.54004e-07
120000,2.96434e-06,1.59303e-07,3.27306e-07
130000,2.61254e-06,1.18204e-07,3.35107e-07
140000,2.86624e-06,1.06901e-07,3.32009e-07
150000,3.14245e-06,1.132e-07,3.73507e-07
160000,3.21605e-06,1.15003e-07,3.59203e-07
170000,3.01065e-06,1.10501e-07,3.58407e-07
180000,3.13324e-06,1.04703e-07,3.51307e-07
190000,3.12785e-06,1.08601e-07,3.44509e-07
200000,3.56316e-06,1.09401e-07,4.19704e-07
210000,2.99985e-06,1.02201e-07,3.61901e-07
220000,2.88774e-06,1.03702e-07,3.51205e-07
230000,3.01895e-06,1.20603e-07,3.56304e-07
240000,2.95364e-06,9.9402e-08,3.66709e-07
250000,3.27855e-06,1.044e-07,3.52309e-07
260000,3.61436e-06,1.45602e-07,3.79904e-07
270000,2.89835e-06,1.04201e-07,4.11402e-07
280000,2.82284e-06,1.00603e-07,3.26302e-07
290000,3.04454e-06,1.03102e-07,3.79607e-07
300000,3.55265e-06,1.22401e-07,3.71508e-07
310000,3.08724e-06,1.24101e-07,3.94006e-07
320000,3.34344e-06,1.04603e-07,4.28705e-07
330000,3.58124e-06,1.22805e-07,4.31504e-07
340000,3.38294e-06,1.90803e-07,3.67403e-07
350000,2.98424e-06,9.8602e-08,3.66102e-07
360000,3.02253e-06,9.7902e-08,3.36707e-07
370000,3.25484e-06,1.02202e-07,3.39802e-07
380000,3.72164e-06,1.16703e-07,4.03407e-07
390000,2.99374e-06,1.12901e-07,4.28803e-07
400000,4.12945e-06,1.65601e-07,4.69007e-07
410000,4.04015e-06,1.17201e-07,4.15805e-07
420000,3.10534e-06,9.9302e-08,3.50102e-07
430000,3.54934e-06,1.05103e-07,3.63504e-07
440000,3.98515e-06,1.10301e-07,4.32506e-07
450000,3.17834e-06,9.9101e-08,3.74205e-07
460000,3.37994e-06,1.23301e-07,4.29906e-07
470000,3.47994e-06,1.18603e-07,3.60806e-07
480000,3.47385e-06,1.20002e-07,3.79901e-07
490000,3.62994e-06,1.05301e-07,4.11908e-07
500000,3.12724e-06,9.9302e-08,3.58404e-07
510000,3.82125e-06,1.181e-07,4.28506e-07
520000,3.27454e-06,1.00901e-07,4.01106e-07
530000,3.74325e-06,1.05201e-07,4.45504e-07
540000,3.15294e-06,1.05301e-07,4.11906e-07
550000,3.79675e-06,1.244e-07,4.15305e-07
560000,3.22245e-06,9.87e-08,3.48502e-07
570000,3.37494e-06,1.00601e-07,3.62704e-07
580000,3.34724e-06,1.06e-07,4.46007e-07
590000,4.06435e-06,1.09001e-07,4.10303e-07
600000,3.33784e-06,9.7901e-08,3.55406e-07
610000,3.53585e-06,1.18102e-07,3.80904e-07
620000,3.58044e-06,1.245e-07,3.79808e-07
630000,3.39934e-06,1.123e-07,3.88008e-07
640000,3.22684e-06,9.8101e-08,3.55606e-07
650000,3.95285e-06,1.29102e-07,4.30207e-07
660000,3.29624e-06,9.8501e-08,3.53606e-07
670000,3.34484e-06,1.00101e-07,3.74006e-07
680000,4.76256e-06,1.42804e-07,4.08807e-07
690000,3.72405e-06,1.03201e-07,3.77404e-07
700000,3.47855e-06,1.01401e-07,3.98006e-07
710000,4.29635e-06,1.13902e-07,5.7151e-07
720000,3.67934e-06,1.08204e-07,4.31205e-07
730000,3.97225e-06,1.40801e-07,4.16003e-07
740000,3.66365e-06,1.069e-07,4.43603e-07
750000,3.77025e-06,1.19704e-07,4.84105e-07
760000,3.84995e-06,1.02101e-07,3.83207e-07
770000,3.63664e-06,1.04102e-07,4.37109e-07
780000,3.84745e-06,1.075e-07,4.01102e-07
790000,3.61835e-06,1.05802e-07,4.44206e-07
800000,4.72955e-06,1.32306e-07,5.16309e-07
810000,3.35704e-06,1.05902e-07,3.59404e-07
820000,3.46834e-06,1.59201e-07,4.52807e-07
830000,3.69165e-06,1.19502e-07,3.77901e-07
840000,4.90696e-06,3.00204e-07,5.90306e-07
850000,3.65165e-06,1.024e-07,3.90205e-07
860000,3.35414e-06,1.01002e-07,3.65006e-07
870000,3.54395e-06,1.18301e-07,4.17804e-07
880000,3.48474e-06,1.00002e-07,3.72302e-07
890000,3.68335e-06,1.01e-07,4.17509e-07
900000,4.92476e-06,1.45102e-07,4.32103e-07
910000,4.39315e-06,1.18402e-07,5.02509e-07
920000,5.20757e-06,1.385e-07,6.20208e-07
930000,4.43456e-06,1.14002e-07,4.46604e-07
940000,4.87796e-06,1.94604e-07,5.04205e-07
950000,4.53016e-06,1.15001e-07,4.38503e-07
960000,6.89149e-06,1.10405e-07,4.06704e-07
970000,4.04376e-06,1.12801e-07,4.29804e-07
980000,5.17607e-06,1.08601e-07,4.21906e-07
990000,4.30986e-06,1.069e-07,4.45006e-07
